Matches,Year,Season ,City,Date,Match_type,Player_of_match,Venue,Home Team,Visiting Team,Toss_winner,Toss_decision,Match Winner,Home/Away Result,Won By,Result_margin,Winning Margin Category,Target_Runs,Target_overs,Super_over,Result Method
13,2015,Season 8,Visakhapatnam,18-04-2015,League,JP Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Bating,Delhi Capitals,Away Win,Runs,4,Close Match,168,20,No,Normal
14,2015,Season 8,Pune,18-04-2015,League,AD Russell,Maharashtra Cricket Association Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Away Win,wickets,4,Moderate Win,156,20,No,Normal
15,2015,Season 8,Ahmedabad,19-04-2015,League,AM Rahane,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Bating,Rajasthan Royals,Home Win,wickets,8,Dominating Win,157,20,No,Normal
16,2015,Season 8,Bengaluru,19-04-2015,League,Harbhajan Singh,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Fielding,Mumbai Indians,Away Win,Runs,18,Moderate Win,210,20,No,Normal
17,2015,Season 8,Delhi,20-04-2015,League,UT Yadav,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Away Win,wickets,6,Moderate Win,147,20,No,Normal
18,2015,Season 8,Ahmedabad,21-04-2015,League,SE Marsh,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Punjab Kings,Punjab Kings,Fielding,Punjab Kings,Away Win,Tie,0,Other,192,20,Yes,Normal
19,2015,Season 8,Visakhapatnam,22-04-2015,League,DA Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Sunrisers Hyderabad,Home Win,Runs,16,Moderate Win,118,12,No,D/L
20,2015,Season 8,Bengaluru,22-04-2015,League,SK Raina,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Fielding,Chennai Super Kings,Away Win,Runs,27,Moderate Win,182,20,No,Normal
21,2015,Season 8,Delhi,23-04-2015,League,SS Iyer,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Mumbai Indians,Mumbai Indians,Fielding,Delhi Capitals,Home Win,Runs,37,Moderate Win,191,20,No,Normal
22,2015,Season 8,Ahmedabad,24-04-2015,League,MA Starc,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Away Win,wickets,9,Dominating Win,131,20,No,Normal
23,2015,Season 8,Mumbai,25-04-2015,League,SL Malinga,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bating,Mumbai Indians,Home Win,Runs,20,Moderate Win,158,20,No,Normal
24,2015,Season 8,Chennai,25-04-2015,League,BB McCullum,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Punjab Kings,Chennai Super Kings,Bating,Chennai Super Kings,Home Win,Runs,97,Dominating Win,193,20,No,Normal
25,2015,Season 8,Delhi,26-04-2015,League,VR Aaron,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Away Win,wickets,10,Dominating Win,96,20,No,Normal
26,2015,Season 8,Chandigarh,27-04-2015,League,TA Boult,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Fielding,Sunrisers Hyderabad,Away Win,Runs,20,Moderate Win,151,20,No,Normal
27,2015,Season 8,Chennai,28-04-2015,League,DJ Bravo,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Chennai Super Kings,Home Win,Runs,2,Close Match,135,20,No,Normal
28,2015,Season 8,Bengaluru,29-04-2015,League,No Result ,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Fielding,No Result,No Result,No Result,0,Other,0,0,No,Normal
29,2015,Season 8,Kolkata,30-04-2015,League,AD Russell,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Home Win,wickets,7,Dominating Win,166,20,No,Normal
30,2015,Season 8,Delhi,01-05-2015,League,NM Coulter-Nile,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Punjab Kings,Delhi Capitals,Fielding,Delhi Capitals,Home Win,wickets,9,Dominating Win,119,20,No,Normal
31,2015,Season 8,Mumbai,01-05-2015,League,AT Rayudu,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Fielding,Mumbai Indians,Home Win,Runs,8,Close Match,188,20,No,Normal
32,2015,Season 8,Bengaluru,02-05-2015,League,Mandeep Singh,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Home Win,wickets,7,Dominating Win,112,10,No,Normal
33,2015,Season 8,Hyderabad,02-05-2015,League,DA Warner,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Fielding,Sunrisers Hyderabad,Home Win,Runs,22,Moderate Win,193,20,No,Normal
34,2015,Season 8,Chandigarh,03-05-2015,League,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Mumbai Indians,Bating,Mumbai Indians,Away Win,Runs,23,Moderate Win,173,20,No,Normal
35,2015,Season 8,Mumbai,03-05-2015,League,AM Rahane,"Brabourne Stadium, Mumbai",Rajasthan Royals,Delhi Capitals,Delhi Capitals,Fielding,Rajasthan Royals,Home Win,Runs,14,Moderate Win,190,20,No,Normal
36,2015,Season 8,Chennai,04-05-2015,League,SK Raina,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Bating,Chennai Super Kings,Home Win,Runs,24,Moderate Win,149,20,No,Normal
37,2015,Season 8,Kolkata,04-05-2015,League,UT Yadav,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Kolkata Knight Riders,Home Win,Runs,35,Moderate Win,168,20,No,Normal
38,2015,Season 8,Mumbai,05-05-2015,League,Harbhajan Singh,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,Bating,Mumbai Indians,Home Win,wickets,5,Moderate Win,153,20,No,Normal
