Matches,Year,Season ,City,Date,Match_type,Player_of_match,Venue,Home Team,Visiting Team,Toss_winner,Toss_decision,Match Winner,Home/Away Result,Won By,Result_margin,Winning Margin Category,Target_Runs,Target_overs,Super_over,Result Method
1,2008,Season 1,Bengaluru,18-04-2008,League,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Fielding,Kolkata Knight Riders,Away Win,Runs,140,Dominating Win,223,20,No,Normal
2,2008,Season 1,Chandigarh,19-04-2008,League,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,Bating,Chennai Super Kings,Away Win,Runs,33,Moderate Win,241,20,No,Normal
3,2008,Season 1,Delhi,19-04-2008,League,MF Maharoof,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Bating,Delhi Capitals,Home Win,wickets,9,Dominating Win,130,20,No,Normal
4,2008,Season 1,Mumbai,20-04-2008,League,MV Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Bating,Royal Challengers Bengaluru,Away Win,wickets,5,Moderate Win,166,20,No,Normal
5,2008,Season 1,Kolkata,20-04-2008,League,DJ Hussey,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,Bating,Kolkata Knight Riders,Home Win,wickets,5,Moderate Win,111,20,No,Normal
6,2008,Season 1,Jaipur,21-04-2008,League,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,Bating,Rajasthan Royals,Home Win,wickets,6,Moderate Win,167,20,No,Normal
7,2008,Season 1,Hyderabad,22-04-2008,League,V Sehwag,Rajiv Gandhi International Stadium,Deccan Chargers,Delhi Capitals,Deccan Chargers,Bating,Delhi Capitals,Away Win,wickets,9,Dominating Win,143,20,No,Normal
8,2008,Season 1,Chennai,23-04-2008,League,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,Fielding,Chennai Super Kings,Home Win,Runs,6,Close Match,209,20,No,Normal
9,2008,Season 1,Hyderabad,24-04-2008,League,YK Pathan,Rajiv Gandhi International Stadium,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Fielding,Rajasthan Royals,Away Win,wickets,3,Close Match,215,20,No,Normal
10,2008,Season 1,Chandigarh,25-04-2008,League,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Mumbai Indians,Fielding,Punjab Kings,Home Win,Runs,66,Dominating Win,183,20,No,Normal
11,2008,Season 1,Bengaluru,26-04-2008,League,SR Watson,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Fielding,Rajasthan Royals,Away Win,wickets,7,Dominating Win,136,20,No,Normal
12,2008,Season 1,Chennai,26-04-2008,League,JDP Oram,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Bating,Chennai Super Kings,Home Win,wickets,9,Dominating Win,148,20,No,Normal
13,2008,Season 1,Mumbai,27-04-2008,League,AC Gilchrist,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Deccan Chargers,Deccan Chargers,Fielding,Deccan Chargers,Away Win,wickets,10,Dominating Win,155,20,No,Normal
14,2008,Season 1,Chandigarh,27-04-2008,League,SM Katich,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Delhi Capitals,Delhi Capitals,Bating,Punjab Kings,Home Win,wickets,4,Moderate Win,159,20,No,Normal
15,2008,Season 1,Bengaluru,28-04-2008,League,MS Dhoni,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Bating,Chennai Super Kings,Away Win,Runs,13,Moderate Win,179,20,No,Normal
16,2008,Season 1,Kolkata,29-04-2008,League,ST Jayasuriya,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bating,Mumbai Indians,Away Win,wickets,7,Dominating Win,138,20,No,Normal
17,2008,Season 1,Delhi,30-04-2008,League,GD McGrath,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Delhi Capitals,Home Win,Runs,10,Close Match,192,20,No,Normal
18,2008,Season 1,Hyderabad,01-05-2008,League,SE Marsh,Rajiv Gandhi International Stadium,Deccan Chargers,Punjab Kings,Punjab Kings,Fielding,Punjab Kings,Away Win,wickets,7,Dominating Win,165,20,No,Normal
19,2008,Season 1,Jaipur,01-05-2008,League,SA Asnodkar,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bating,Rajasthan Royals,Home Win,Runs,45,Moderate Win,197,20,No,Normal
20,2008,Season 1,Chennai,02-05-2008,League,V Sehwag,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Bating,Delhi Capitals,Away Win,wickets,8,Dominating Win,170,20,No,Normal
21,2008,Season 1,Chandigarh,03-05-2008,League,IK Pathan,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Kolkata Knight Riders,Punjab Kings,Bating,Punjab Kings,Home Win,Runs,9,Close Match,179,20,No,Normal
22,2008,Season 1,Bengaluru,03-05-2008,League,P Kumar,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,Fielding,Royal Challengers Bengaluru,Home Win,Runs,3,Close Match,157,20,No,Normal
23,2008,Season 1,Mumbai,04-05-2008,League,SM Pollock,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,Fielding,Mumbai Indians,Home Win,Runs,29,Moderate Win,163,20,No,Normal
24,2008,Season 1,Jaipur,04-05-2008,League,Sohail Tanvir,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Bating,Rajasthan Royals,Home Win,wickets,8,Dominating Win,110,20,No,Normal
25,2008,Season 1,Bengaluru,05-05-2008,League,S Sreesanth,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Fielding,Punjab Kings,Away Win,wickets,6,Moderate Win,127,20,No,Normal
26,2008,Season 1,Chennai,06-05-2008,League,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Deccan Chargers,Fielding,Deccan Chargers,Away Win,wickets,7,Dominating Win,145,20,No,Normal
27,2008,Season 1,Mumbai,07-05-2008,League,A Nehra,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Rajasthan Royals,Mumbai Indians,Fielding,Mumbai Indians,Home Win,wickets,7,Dominating Win,104,20,No,Normal
28,2008,Season 1,Delhi,08-05-2008,League,MS Dhoni,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Fielding,Chennai Super Kings,Away Win,wickets,4,Moderate Win,188,20,No,Normal
29,2008,Season 1,Kolkata,08-05-2008,League,SC Ganguly,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Bating,Kolkata Knight Riders,Home Win,Runs,5,Close Match,130,16,No,Normal
30,2008,Season 1,Jaipur,09-05-2008,League,YK Pathan,Sawai Mansingh Stadium,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,Fielding,Rajasthan Royals,Home Win,wickets,8,Dominating Win,141,20,No,Normal
31,2008,Season 1,Chennai,10-05-2008,League,L Balaji,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Punjab Kings,Punjab Kings,Fielding,Chennai Super Kings,Home Win,Runs,18,Moderate Win,182,20,No,Normal
32,2008,Season 1,Hyderabad,11-05-2008,League,SC Ganguly,Rajiv Gandhi International Stadium,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Bating,Kolkata Knight Riders,Away Win,Runs,23,Moderate Win,205,20,No,Normal
33,2008,Season 1,Jaipur,11-05-2008,League,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Fielding,Rajasthan Royals,Home Win,wickets,3,Close Match,157,20,No,Normal
34,2008,Season 1,Chandigarh,12-05-2008,League,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bating,Punjab Kings,Home Win,wickets,9,Dominating Win,144,20,No,Normal
35,2008,Season 1,Kolkata,13-05-2008,League,Shoaib Akhtar,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Bating,Kolkata Knight Riders,Home Win,Runs,23,Moderate Win,134,20,No,Normal
36,2008,Season 1,Mumbai,14-05-2008,League,ST Jayasuriya,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Fielding,Mumbai Indians,Home Win,wickets,9,Dominating Win,157,20,No,Normal
37,2008,Season 1,Delhi,15-05-2008,League,A Mishra,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Deccan Chargers,Deccan Chargers,Fielding,Delhi Capitals,Home Win,Runs,12,Moderate Win,195,20,No,Normal
38,2008,Season 1,Mumbai,16-05-2008,League,SM Pollock,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Fielding,Mumbai Indians,Home Win,wickets,8,Dominating Win,68,20,No,Normal
39,2008,Season 1,Delhi,17-05-2008,League,DPMD Jayawardene,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Punjab Kings,Delhi Capitals,Bating,Punjab Kings,Away Win,Runs,6,Close Match,89,8,No,D/L
40,2008,Season 1,Jaipur,17-05-2008,League,GC Smith,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Rajasthan Royals,Home Win,Runs,65,Dominating Win,198,20,No,Normal
41,2008,Season 1,Hyderabad,18-05-2008,League,DJ Bravo,Rajiv Gandhi International Stadium,Deccan Chargers,Mumbai Indians,Deccan Chargers,Fielding,Mumbai Indians,Away Win,Runs,25,Moderate Win,179,20,No,Normal
42,2008,Season 1,Kolkata,18-05-2008,League,M Ntini,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bating,Chennai Super Kings,Away Win,Runs,3,Close Match,53,8,No,D/L
43,2008,Season 1,Bengaluru,19-05-2008,League,SP Goswami,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Fielding,Delhi Capitals,Away Win,wickets,5,Moderate Win,155,20,No,Normal
44,2008,Season 1,Kolkata,20-05-2008,League,YK Pathan,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Fielding,Rajasthan Royals,Away Win,wickets,6,Moderate Win,148,20,No,Normal
45,2008,Season 1,Mumbai,21-05-2008,League,SE Marsh,Wankhede Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,Fielding,Punjab Kings,Away Win,Runs,1,Close Match,190,20,No,Normal
46,2008,Season 1,Chennai,21-05-2008,League,A Kumble,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bating,Royal Challengers Bengaluru,Away Win,Runs,14,Moderate Win,127,20,No,Normal
47,2008,Season 1,Chandigarh,23-05-2008,League,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Deccan Chargers,Punjab Kings,Fielding,Punjab Kings,Home Win,wickets,6,Moderate Win,176,20,No,Normal
48,2008,Season 1,Delhi,24-05-2008,League,KD Karthik,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Mumbai Indians,Delhi Capitals,Fielding,Delhi Capitals,Home Win,wickets,5,Moderate Win,177,20,No,Normal
49,2008,Season 1,Chennai,24-05-2008,League,JA Morkel,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Bating,Rajasthan Royals,Away Win,Runs,10,Close Match,212,20,No,Normal
50,2008,Season 1,Hyderabad,25-05-2008,League,R Vinay Kumar,Rajiv Gandhi International Stadium,Deccan Chargers,Royal Challengers Bengaluru,Deccan Chargers,Bating,Royal Challengers Bengaluru,Away Win,wickets,5,Moderate Win,166,20,No,Normal
51,2008,Season 1,Kolkata,25-05-2008,League,Umar Gul,Eden Gardens,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Bating,Kolkata Knight Riders,Home Win,wickets,3,Close Match,175,20,No,Normal
52,2008,Season 1,Jaipur,26-05-2008,League,Sohail Tanvir,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Fielding,Rajasthan Royals,Home Win,wickets,5,Moderate Win,146,20,No,Normal
53,2008,Season 1,Hyderabad,27-05-2008,League,SK Raina,Rajiv Gandhi International Stadium,Deccan Chargers,Chennai Super Kings,Deccan Chargers,Bating,Chennai Super Kings,Away Win,wickets,7,Dominating Win,148,20,No,Normal
54,2008,Season 1,Bengaluru,28-05-2008,League,CRD Fernando,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Fielding,Mumbai Indians,Away Win,wickets,9,Dominating Win,123,18,No,Normal
55,2008,Season 1,Chandigarh,28-05-2008,League,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Rajasthan Royals,Rajasthan Royals,Fielding,Punjab Kings,Home Win,Runs,41,Moderate Win,222,20,No,Normal
56,2008,Season 1,Mumbai,30-05-2008,Playoffs,SR Watson,Wankhede Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,Fielding,Rajasthan Royals,Away Win,Runs,105,Dominating Win,193,20,No,Normal
57,2008,Season 1,Mumbai,31-05-2008,Playoffs,M Ntini,Wankhede Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,Bating,Chennai Super Kings,Home Win,wickets,9,Dominating Win,113,20,No,Normal
58,2008,Season 1,Mumbai,01-06-2008,Final,YK Pathan,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Fielding,Rajasthan Royals,Away Win,wickets,3,Close Match,164,20,No,Normal
1,2009,Season 2,Cape Town,18-04-2009,League,SR Tendulkar,Newlands,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Fielding,Mumbai Indians,Away Win,Runs,19,Moderate Win,166,20,No,Normal
2,2009,Season 2,Cape Town,18-04-2009,League,R Dravid,Newlands,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Bating,Royal Challengers Bengaluru,Home Win,Runs,75,Dominating Win,134,20,No,Normal
3,2009,Season 2,Cape Town,19-04-2009,League,DL Vettori,Newlands,Delhi Capitals,Punjab Kings,Delhi Capitals,Fielding,Delhi Capitals,Home Win,wickets,10,Dominating Win,54,6,No,D/L
4,2009,Season 2,Cape Town,19-04-2009,League,RP Singh,Newlands,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Bating,Deccan Chargers,Home Win,wickets,8,Dominating Win,102,20,No,Normal
5,2009,Season 2,Port Elizabeth,20-04-2009,League,M Muralitharan,St George's Park,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Bating,Chennai Super Kings,Away Win,Runs,92,Dominating Win,180,20,No,Normal
6,2009,Season 2,Durban,21-04-2009,League,CH Gayle,Kingsmead,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Away Win,Runs,11,Moderate Win,69,9.2,No,D/L
7,2009,Season 2,Cape Town,22-04-2009,League,AC Gilchrist,Newlands,Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,Bating,Deccan Chargers,Away Win,Runs,24,Moderate Win,185,20,No,Normal
8,2009,Season 2,Durban,23-04-2009,League,AB de Villiers,Kingsmead,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Bating,Delhi Capitals,Away Win,Runs,9,Close Match,190,20,No,Normal
9,2009,Season 2,Cape Town,23-04-2009,League,YK Pathan,Newlands,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Fielding,Rajasthan Royals,Away Win,Tie,0,Other,151,20,Yes,Normal
10,2009,Season 2,Durban,24-04-2009,League,RS Bopara,Kingsmead,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Bating,Punjab Kings,Away Win,wickets,7,Dominating Win,169,20,No,Normal
11,2009,Season 2,Durban,25-04-2009,League,PP Ojha,Kingsmead,Deccan Chargers,Mumbai Indians,Deccan Chargers,Bating,Deccan Chargers,Home Win,Runs,12,Moderate Win,169,20,No,Normal
12,2009,Season 2,Port Elizabeth,26-04-2009,League,TM Dilshan,St George's Park,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,Bating,Delhi Capitals,Away Win,wickets,6,Moderate Win,150,20,No,Normal
13,2009,Season 2,Cape Town,26-04-2009,League,KC Sangakkara,Newlands,Punjab Kings,Rajasthan Royals,Punjab Kings,Bating,Punjab Kings,Home Win,Runs,27,Moderate Win,140,20,No,Normal
14,2009,Season 2,Durban,27-04-2009,League,HH Gibbs,Kingsmead,Chennai Super Kings,Deccan Chargers,Deccan Chargers,Fielding,Deccan Chargers,Away Win,wickets,6,Moderate Win,166,20,No,Normal
15,2009,Season 2,Port Elizabeth,27-04-2009,League,SR Tendulkar,St George's Park,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Bating,Mumbai Indians,Away Win,Runs,92,Dominating Win,188,20,No,Normal
16,2009,Season 2,Centurion,28-04-2009,League,YK Pathan,SuperSport Park,Delhi Capitals,Rajasthan Royals,Delhi Capitals,Bating,Rajasthan Royals,Away Win,wickets,5,Moderate Win,144,20,No,Normal
17,2009,Season 2,Durban,29-04-2009,League,MV Boucher,Kingsmead,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Bating,Royal Challengers Bengaluru,Home Win,wickets,5,Moderate Win,140,20,No,Normal
18,2009,Season 2,Durban,29-04-2009,League,KC Sangakkara,Kingsmead,Punjab Kings,Mumbai Indians,Punjab Kings,Bating,Punjab Kings,Home Win,Runs,3,Close Match,120,20,No,Normal
19,2009,Season 2,Centurion,30-04-2009,League,DP Nannes,SuperSport Park,Deccan Chargers,Delhi Capitals,Delhi Capitals,Fielding,Delhi Capitals,Away Win,wickets,6,Moderate Win,149,20,No,Normal
20,2009,Season 2,Centurion,30-04-2009,League,SK Raina,SuperSport Park,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Fielding,Chennai Super Kings,Home Win,Runs,38,Moderate Win,165,20,No,Normal
21,2009,Season 2,East London,01-05-2009,League,JP Duminy,Buffalo Park,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Bating,Mumbai Indians,Away Win,Runs,9,Close Match,149,20,No,Normal
22,2009,Season 2,Durban,01-05-2009,League,Yuvraj Singh,Kingsmead,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Bating,Royal Challengers Bengaluru,Home Win,Runs,8,Close Match,146,20,No,Normal
23,2009,Season 2,Port Elizabeth,02-05-2009,League,YK Pathan,St George's Park,Deccan Chargers,Rajasthan Royals,Deccan Chargers,Bating,Rajasthan Royals,Away Win,wickets,3,Close Match,142,20,No,Normal
24,2009,Season 2,Johannesburg,02-05-2009,League,SB Jakati,New Wanderers Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Fielding,Chennai Super Kings,Home Win,Runs,18,Moderate Win,164,20,No,Normal
25,2009,Season 2,Port Elizabeth,03-05-2009,League,DPMD Jayawardene,St George's Park,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Bating,Punjab Kings,Home Win,wickets,6,Moderate Win,154,20,No,Normal
26,2009,Season 2,Johannesburg,03-05-2009,League,JH Kallis,New Wanderers Stadium,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Bating,Royal Challengers Bengaluru,Home Win,wickets,9,Dominating Win,150,20,No,Normal
27,2009,Season 2,East London,04-05-2009,League,MS Dhoni,Buffalo Park,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,Bating,Chennai Super Kings,Home Win,Runs,78,Dominating Win,179,20,No,Normal
28,2009,Season 2,Durban,05-05-2009,League,GC Smith,Kingsmead,Punjab Kings,Rajasthan Royals,Punjab Kings,Fielding,Rajasthan Royals,Away Win,Runs,78,Dominating Win,212,20,No,Normal
29,2009,Season 2,Durban,05-05-2009,League,G Gambhir,Kingsmead,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Bating,Delhi Capitals,Home Win,wickets,9,Dominating Win,155,20,No,Normal
30,2009,Season 2,Centurion,06-05-2009,League,RG Sharma,SuperSport Park,Deccan Chargers,Mumbai Indians,Deccan Chargers,Bating,Deccan Chargers,Home Win,Runs,19,Moderate Win,146,20,No,Normal
31,2009,Season 2,Centurion,07-05-2009,League,A Singh,SuperSport Park,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Fielding,Rajasthan Royals,Away Win,wickets,7,Dominating Win,106,20,No,Normal
32,2009,Season 2,Centurion,07-05-2009,League,ML Hayden,SuperSport Park,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Bating,Chennai Super Kings,Home Win,Runs,12,Moderate Win,187,18,No,D/L
33,2009,Season 2,East London,08-05-2009,League,A Nehra,Buffalo Park,Delhi Capitals,Mumbai Indians,Mumbai Indians,Bating,Delhi Capitals,Home Win,wickets,7,Dominating Win,117,20,No,Normal
34,2009,Season 2,Kimberley,09-05-2009,League,DPMD Jayawardene,De Beers Diamond Oval,Deccan Chargers,Punjab Kings,Punjab Kings,Fielding,Punjab Kings,Away Win,wickets,3,Close Match,169,20,No,Normal
35,2009,Season 2,Kimberley,09-05-2009,League,S Badrinath,De Beers Diamond Oval,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Bating,Chennai Super Kings,Home Win,wickets,7,Dominating Win,141,20,No,Normal
36,2009,Season 2,Port Elizabeth,10-05-2009,League,JP Duminy,St George's Park,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Bating,Mumbai Indians,Away Win,Runs,16,Moderate Win,158,20,No,Normal
37,2009,Season 2,Johannesburg,10-05-2009,League,A Mishra,New Wanderers Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Fielding,Delhi Capitals,Home Win,wickets,7,Dominating Win,124,20,No,Normal
38,2009,Season 2,Kimberley,11-05-2009,League,DR Smith,De Beers Diamond Oval,Deccan Chargers,Rajasthan Royals,Deccan Chargers,Bating,Deccan Chargers,Home Win,Runs,53,Dominating Win,167,20,No,Normal
39,2009,Season 2,Centurion,12-05-2009,League,LRPL Taylor,SuperSport Park,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Home Win,wickets,6,Moderate Win,174,20,No,Normal
40,2009,Season 2,Centurion,12-05-2009,League,Harbhajan Singh,SuperSport Park,Punjab Kings,Mumbai Indians,Punjab Kings,Bating,Mumbai Indians,Away Win,wickets,8,Dominating Win,120,20,No,Normal
41,2009,Season 2,Durban,13-05-2009,League,R Bhatia,Kingsmead,Deccan Chargers,Delhi Capitals,Deccan Chargers,Fielding,Delhi Capitals,Away Win,Runs,12,Moderate Win,174,20,No,Normal
42,2009,Season 2,Durban,14-05-2009,League,LRPL Taylor,Kingsmead,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Bating,Royal Challengers Bengaluru,Home Win,wickets,2,Close Match,130,20,No,Normal
43,2009,Season 2,Durban,14-05-2009,League,SK Warne,Kingsmead,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Bating,Rajasthan Royals,Away Win,Runs,2,Close Match,146,20,No,Normal
44,2009,Season 2,Bloemfontein,15-05-2009,League,B Lee,OUTsurance Oval,Delhi Capitals,Punjab Kings,Punjab Kings,Fielding,Punjab Kings,Away Win,wickets,6,Moderate Win,121,20,No,Normal
45,2009,Season 2,Port Elizabeth,16-05-2009,League,ML Hayden,St George's Park,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Bating,Chennai Super Kings,Home Win,wickets,7,Dominating Win,148,20,No,Normal
46,2009,Season 2,Johannesburg,16-05-2009,League,RG Sharma,New Wanderers Stadium,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,Fielding,Deccan Chargers,Home Win,wickets,6,Moderate Win,161,20,No,Normal
47,2009,Season 2,Johannesburg,17-05-2009,League,Yuvraj Singh,New Wanderers Stadium,Deccan Chargers,Punjab Kings,Deccan Chargers,Fielding,Punjab Kings,Away Win,Runs,1,Close Match,135,20,No,Normal
48,2009,Season 2,Bloemfontein,17-05-2009,League,AB de Villiers,OUTsurance Oval,Delhi Capitals,Rajasthan Royals,Delhi Capitals,Bating,Delhi Capitals,Home Win,Runs,14,Moderate Win,151,20,No,Normal
49,2009,Season 2,Centurion,18-05-2009,League,BJ Hodge,SuperSport Park,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bating,Kolkata Knight Riders,Away Win,wickets,7,Dominating Win,189,20,No,Normal
50,2009,Season 2,Johannesburg,19-05-2009,League,JH Kallis,New Wanderers Stadium,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Bating,Royal Challengers Bengaluru,Home Win,wickets,7,Dominating Win,135,20,No,Normal
51,2009,Season 2,Durban,20-05-2009,League,LR Shukla,Kingsmead,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Home Win,wickets,4,Moderate Win,102,20,No,Normal
52,2009,Season 2,Durban,20-05-2009,League,M Muralitharan,Kingsmead,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Bating,Chennai Super Kings,Home Win,Runs,24,Moderate Win,117,20,No,Normal
53,2009,Season 2,Centurion,21-05-2009,League,V Sehwag,SuperSport Park,Delhi Capitals,Mumbai Indians,Delhi Capitals,Fielding,Delhi Capitals,Home Win,wickets,4,Moderate Win,166,20,No,Normal
54,2009,Season 2,Centurion,21-05-2009,League,MK Pandey,SuperSport Park,Royal Challengers Bengaluru,Deccan Chargers,Royal Challengers Bengaluru,Bating,Royal Challengers Bengaluru,Home Win,Runs,12,Moderate Win,171,20,No,Normal
55,2009,Season 2,Centurion,22-05-2009,Playoffs,AC Gilchrist,SuperSport Park,Delhi Capitals,Deccan Chargers,Deccan Chargers,Fielding,Deccan Chargers,Away Win,wickets,6,Moderate Win,154,20,No,Normal
56,2009,Season 2,Johannesburg,23-05-2009,Playoffs,MK Pandey,New Wanderers Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Home Win,wickets,6,Moderate Win,147,20,No,Normal
57,2009,Season 2,Johannesburg,24-05-2009,Final,A Kumble,New Wanderers Stadium,Royal Challengers Bengaluru,Deccan Chargers,Royal Challengers Bengaluru,Fielding,Deccan Chargers,Away Win,Runs,6,Close Match,144,20,No,Normal
1,2010,Season 3,Mumbai,12-03-2010,League,AD Mathews,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,Fielding,Kolkata Knight Riders,Away Win,Runs,11,Moderate Win,162,20,No,Normal
2,2010,Season 3,Mumbai,13-03-2010,League,YK Pathan,"Brabourne Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bating,Mumbai Indians,Home Win,Runs,4,Close Match,213,20,No,Normal
3,2010,Season 3,Chandigarh,13-03-2010,League,G Gambhir,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Delhi Capitals,Delhi Capitals,Fielding,Delhi Capitals,Away Win,wickets,5,Moderate Win,143,20,No,Normal
